,0,1,2,3,4,5
v10,65.79,81.54,63.31,74.04,74.42,59.76
v20,-51.78,-51.53,-44.4,-57.01,-48.49,-39.1
v11,-17.92,-13.93,-16.27,-18.05,-17.03,-15.06
v21,83.22,110.95,89.96,102.08,99.83,78.84
p1,12413.076000000005,17764.726000000002,12966.728000000001,14207.390000000003,15938.838000000003,12768.548000000003
p2,9626.547999999999,16189.166000000001,11450.735999999997,13132.215999999997,13052.301999999996,9765.48
E1,981187.7248800001,1369520.71613,860478.46324,1228993.7808500002,1153911.30717,745260.8008399999
E2,705773.6722,1191038.98641,806110.2829199998,1035417.85524,986642.83905,623095.3872
delta_p,2786.5280000000057,1575.5600000000013,1515.9920000000038,1075.1740000000063,2886.5360000000073,3003.068000000003
delta_E,275414.0526800001,178481.72972000018,54368.18032000016,193575.92561000027,167268.46811999998,122165.41363999993
